sector,category,activity_id,Notes
Agriculture/Hunting/Forestry/Fishing,Agriculture/Hunting/Forestry/Fishing,agriculture_fishing_forestry-type_[....],
Agriculture/Hunting/Forestry/Fishing,Arable Farming,arable_farming-type_[....],
Agriculture/Hunting/Forestry/Fishing,Fishing/Aquaculture/Hunting,fishing_aquaculture-type_[....],
Agriculture/Hunting/Forestry/Fishing,Livestock Farming,livestock_farming-type_[....],
Agriculture/Hunting/Forestry/Fishing,Timber and Forestry Products,timber_forestry-type_[....],This category includes both primary and secondary (recycled) materials 
Buildings and Infrastructure,Construction,construction-type_[....],
Buildings and Infrastructure,Housing,housing-type_[....],
Buildings and Infrastructure,Infrastructure,infrastructure-type_[....],
Buildings and Infrastructure,Maintenance and Repair,maintenance_repair-type_[....],
Buildings and Infrastructure,Other Real Estate,other_rental_estate-type_[....],
Buildings and Infrastructure,Pavement and Surfacing,pavement_surfaces-type_[....],
Buildings and Infrastructure,Utilities,utilities-type_[....],
Consumer Goods and Services,Clothing and Footwear,consumer_goods-type_[....],This category includes both primary and secondary (recycled) materials 
Consumer Goods and Services,Consumer Goods Rental,consumer_goods_rental-type_[....],
Consumer Goods and Services,DIY and Gardening Equipment,equipment_gardening_diy-type_[....],
Consumer Goods and Services,Domestic Services,domestic_services-type_[....],
Consumer Goods and Services,Food/Beverages/Tobacco,consumer_goods-type_[....],This category includes both primary and secondary (recycled) materials 
Consumer Goods and Services,Furnishings and Household,consumer_goods-type_[....],
Consumer Goods and Services,General Retail,general_retail-type_[....],
Consumer Goods and Services,Health Care,health_care-type_[....],
Consumer Goods and Services,Paper Products,paper_products-type_[....],
Consumer Goods and Services,Personal Care and Accessories,consumer_goods-type_[....],
Consumer Goods and Services,Professional Services,consumer_services-type_[....],
Consumer Goods and Services,Recreation and Culture,consumer_goods-type_[....],
Consumer Goods and Services,Textiles,textiles-type_[....],
Consumer Goods and Services,Vehicle Maintenance and Services,consumer_goods-type_[....],
Education,Education,education-type_[....],
Energy,Electricity,electricity-energy_source_[....],
Energy,Energy Services,energy_services-type_[....],
Energy,Fuel,fuel_type_[....]-fuel_use_[....],
Energy,Heat and Steam,heat-and-steam-type_[....],
Equipment,Electrical Equipment,electrical_equipment-type_[....],This category includes both primary and secondary (recycled) materials 
Equipment,Electronics,electronics-type_[....],
Equipment,Equipment Rental,equipment_retail-type_[....],
Equipment,Equipment Repair,equipment_repair-type_[....],
Equipment,Machinery,machinery-type_[....],
Equipment,Office Equipment,office_equipment-type_[....],
Health and Social Care,Health and Social Care,health_social_care-type_[....],
Health and Social Care,Health Care,health_care-type_[....],
Health and Social Care,Social Care,social_care-type_[....],
Information and Communication,Cloud Computing - CPU,cpu-provider_[....]-region_[....],
Information and Communication,Cloud Computing - Memory,memory-provider_[....]-region_[....],
Information and Communication,Cloud Computing - Networking,networking-provider_[....]-region_[....],
Information and Communication,Cloud Computing - Storage,storage-provider_[....]-region_[....]-type_[....],
Information and Communication,Information and Communication Services,communication_services-type_[....],
Insurance and Financial Services,Financial Services,financial_services-type_[....],
Insurance and Financial Services,Insurance Services,insurance-type_[....],
Materials and Manufacturing,Manufacturing,manufacturing-type_[....],
Materials and Manufacturing,Building Materials,building_materials-type_[....],This category includes both primary and secondary (recycled) materials 
Materials and Manufacturing,Ceramic Goods,ceramics-type_[....],
Materials and Manufacturing,Chemical Products,chemicals-type_[....],
Materials and Manufacturing,Fabricated Metal Products,metal_products-type_[....],This category includes both primary and secondary (recycled) materials 
Materials and Manufacturing,Glass and Glass Products,glass_products-type_[....],This category includes both primary and secondary (recycled) materials 
Materials and Manufacturing,Metals,metals-type_[....],This category includes both primary and secondary (recycled) materials 
Materials and Manufacturing,Mined Materials,mined_materials-type_[....],
Materials and Manufacturing,Mining,mining-type_[....],
Materials and Manufacturing,Organic Products,organic_products-type_[....],This category includes both primary and secondary (recycled) materials 
Materials and Manufacturing,Other Materials,other_materials-type_[....],
Materials and Manufacturing,Paper and Cardboard,paper_and_cardboard-type_[....],This category includes both primary and secondary (recycled) materials 
Materials and Manufacturing,Plastics and Rubber Products,plastics_rubber-type_[....],This category includes both primary and secondary (recycled) materials 
Materials and Manufacturing,Vehicle Parts,vehicle_parts-type_[....],
Organizational Activities,Government Activities,organizational_activities-type_[....],
Organizational Activities,Non-profit Activities,organizational_activities-type_[....],
Organizational Activities,Operational Activities,organizational_activities-type_[....],
Organizational Activities,Organizational Activities,organizational_activity-type_[....],
Organizational Activities,Professional Services and Activities,professional_services-type_[....],
Organizational Activities,Wholesale Trade,wholesale_trade-type_[....],
Refrigerants and Fugitive Gases,Refrigerants and Fugitive Gases,fugitive_gas-type_[....],This category is for estimating the CO2 equivalent emissions of refrigerants and fugitive gases. These conversion factor should be used to report leakage from air-conditioning refrigeration units or the release to the atmosphere of other gases that have global warming potential (GWP).
Restaurants and Accommodation,Accommodation,accommodation_type_[....],
Restaurants and Accommodation,Food and Beverage Services,consumer_services-type_[....],
Restaurants and Accommodation,Restaurants and Accommodation,restaurants_accommodation-type_[....],
Transport,Air Freight,freight_flight-route_type_[....]-distance_[....]-weight_[....]-rf_[....]-method_[...]-aircraft_type_[...]-distance_uplift_[....],,
Transport,Air Travel,passenger_flight-route_type_[....]-aircraft_type_[....]-distance_[....]-class_[....]-rf_[....]-distance_uplift_[....],
Transport,Rail Freight,freight_train-route_type_[....]-fuel_type_[....]-load_type-[...],
Transport,Rail Travel,passenger_train-route_type_[....]-fuel_source_[....],
Transport,Road Freight,freight_vehicle-vehicle_type_[....]-fuel_source_[....]-vehicle_weight_[....]-load_type_[...],
Transport,Road Travel,passenger_vehicle-vehicle_type_[....]-fuel_source_[....]-distance_[....]-engine_size_[....]-percentage_load[....],
Transport,Sea Freight,sea_freight-vessel_type_[....]-route_type_[....]-vessel_length_[....]-tonnage_[....]-fuel_source_[....]-load_type_[...]-distance_uplift_[...],
Transport,Sea Travel,passenger_ferry-route_type_[....]-fuel_source_[....],
Transport,Tickets and Passes,tickets_passes-transport_type_[....]-ticket_type_[....],
Transport,Transport Services and Warehousing,transport_services-type_[....],
Transport,Vehicles,passenger_vehicle-vehicle_type_[....]-fuel_source_[....]-engine_size_[....]-vehicle_age_[....]-vehicle_weight_[....],
Waste,Construction Waste,waste_type_[....]-disposal_method_[....],
Waste,Electrical Waste,waste_type_[....]-disposal_method_[....],
Waste,Food and Organic Waste,waste_type_[....]-disposal_method_[....],
Waste,General Waste,waste_type_[....]-disposal_method_[....],
Waste,Glass Waste,waste_type_[....]-disposal_method_[....],
Waste,Metal Waste,waste_type_[....]-disposal_method_[....],
Waste,Paper and Cardboard Waste,waste_type_[....]-disposal_method_[....],
Waste,Plastic Waste,waste_type_[....]-disposal_method_[....],
Waste,Waste Management,waste_management-type_[....],
Water,Water Supply,water-[....],
Water,Water Treatment,water-[....],
